"Ensembl_ID" "Gene_symbol" "Biotype" "Comparison" "logFC" "FDR"
"ENSG00000214518" "KRTAP2-2" "Protein_Coding" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000214652" "ZNF727" "Protein_Coding" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000215009" "ACSM4" "Protein_Coding" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000215483" "LINC00598" "lncRNA" "Normal vs Doxo-treated" 2.044607541 0.438183075
"ENSG00000215704" "CELA2B" "Protein_Coding" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000221836" "OR2A5" "Protein_Coding" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000222009" "BTBD19" "Protein_Coding" "Normal vs Doxo-treated" 1.349202208 0.438183075
"ENSG00000222030" "LINC01793" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000222041" "CYTOR" "lncRNA" "Normal vs Doxo-treated" 1.109906407 0.438183075
"ENSG00000222043" "ENSG00000222043" "lncRNA" "Normal vs Doxo-treated" 1.814873409 0.438183075
"ENSG00000223344" "ENSG00000223344" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000223430" "ENSG00000223430" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000223440" "ENSG00000223440" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000223552" "CCR5AS" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000223662" "SAMSN1-AS1" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000223675" "ENSG00000223675" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000223701" "RAET1E-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000223729" "LINC02247" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000223734" "LAPTM4A-DT" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000223791" "UBE2E1-AS1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000223826" "LINC01870" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000223911" "ENSG00000223911" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000223944" "ENSG00000223944" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000224018" "ENSG00000224018" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000224093" "BCAR3-AS1" "lncRNA" "Normal vs Doxo-treated" 2.527357747 0.438183075
"ENSG00000224099" "ENSG00000224099" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000224271" "EPIC1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000224342" "ENSG00000224342" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000224481" "ENSG00000224481" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000224525" "ENSG00000224525" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000224714" "LINC02671" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000224819" "ENSG00000224819" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000224842" "LMX1B-DT" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000224899" "LINC02830" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000224919" "ENSG00000224919" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000225179" "LINC00457" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000225194" "LINC00092" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000225214" "ENSG00000225214" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000225226" "LINC01795" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000225328" "LINC01594" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000225421" "ENSG00000225421" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000225457" "ENSG00000225457" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000225546" "LINC02476" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000225548" "LINC01980" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000225579" "EDNRB-AS1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000225595" "LINC01623" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000225602" "MTOR-AS1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000225605" "ENSG00000225605" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000225731" "PDE9A-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000225798" "ENSG00000225798" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000226087" "ENSG00000226087" "lncRNA" "Normal vs Doxo-treated" 2.078558545 0.438183075
"ENSG00000226088" "HHLA3-AS1" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000226091" "LINC00937" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000226149" "ENSG00000226149" "lncRNA" "Normal vs Doxo-treated" -1.839824892 0.438183075
"ENSG00000226349" "ENSG00000226349" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000226445" "THBS2-AS1" "lncRNA" "Normal vs Doxo-treated" -1.744695961 0.438183075
"ENSG00000226530" "ENSG00000226530" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000226578" "ENSG00000226578" "lncRNA" "Normal vs Doxo-treated" -2.464795539 0.438183075
"ENSG00000226661" "ENSG00000226661" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000226807" "MROH5" "Protein_Coding" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000226872" "ENSG00000226872" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000227012" "LINC02527" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000227042" "ENSG00000227042" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000227066" "ENSG00000227066" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000227094" "ENSG00000227094" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000227101" "ENSG00000227101" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000227117" "HORMAD2-AS1" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000227197" "ENSG00000227197" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000227544" "LINC03013" "lncRNA" "Normal vs Doxo-treated" 2.077032574 0.438183075
"ENSG00000227729" "RD3L" "Protein_Coding" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000227751" "RCC2-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000227769" "ENSG00000227769" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000227929" "SRGAP3-AS3" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000227947" "LINC01738" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000228105" "LINC01757" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000228127" "LINC01649" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000228215" "LINC02770" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000228295" "LINC00392" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000228318" "ENSG00000228318" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000228353" "ENSG00000228353" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000228414" "REL-DT" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000228548" "ITPKB-AS1" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000228719" "ENSG00000228719" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000228809" "ENSG00000228809" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000228950" "ENSG00000228950" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000229105" "ASTN2-AS1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000229122" "AGBL5-IT1" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000229154" "KCNQ5-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000229227" "ENSG00000229227" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000229240" "LINC00710" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000229896" "ENSG00000229896" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000229941" "PDE11A-AS1" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000230133" "LINC01721" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000230156" "LINC00443" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000230173" "LINC01790" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000230246" "SPATA31C1" "Protein_Coding" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000230368" "FAM41C" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000230393" "ENSG00000230393" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000230453" "ANKRD18B" "Protein_Coding" "Normal vs Doxo-treated" 1.798687459 0.438183075
"ENSG00000230647" "ENSG00000230647" "lncRNA" "Normal vs Doxo-treated" 2.574924203 0.438183075
"ENSG00000230923" "LINC00309" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000231128" "ENSG00000231128" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000231170" "PDK4-AS1" "lncRNA" "Normal vs Doxo-treated" 2.125998694 0.438183075
"ENSG00000231221" "LINC01593" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000231422" "LINC01516" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000231671" "LINC01307" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000231864" "ENSG00000231864" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000231876" "ENSG00000231876" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000231990" "ENSG00000231990" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000232079" "LINC01697" "lncRNA" "Normal vs Doxo-treated" 2.588645121 0.438183075
"ENSG00000232113" "TEX50" "Protein_Coding" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000232139" "LINC00867" "lncRNA" "Normal vs Doxo-treated" 1.80936223 0.438183075
"ENSG00000232162" "USP12-AS1" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000232265" "LINC02805" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000232316" "LINC02518" "lncRNA" "Normal vs Doxo-treated" 2.300321088 0.438183075
"ENSG00000232342" "ENSG00000232342" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000232360" "ENSG00000232360" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000232455" "LARS2-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000232470" "ENSG00000232470" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000232693" "ENSG00000232693" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000232754" "ENSG00000232754" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000233070" "ZFY-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000233200" "LINC02634" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000233220" "PRDM10-DT" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000233296" "TMEM18-DT" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000233405" "LINC01046" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000233456" "LINC01077" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000233610" "LINC00462" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000233613" "DCUN1D2-AS" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000233645" "ENSG00000233645" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000233729" "NCKAP5-AS1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000233842" "ENSG00000233842" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000233845" "ENSG00000233845" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000233896" "PDYN-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000233926" "TLE1-DT" "lncRNA" "Normal vs Doxo-treated" 2.086821849 0.438183075
"ENSG00000234091" "ENSG00000234091" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000234148" "LINC01961" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000234193" "ACSL3-AS1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000234244" "ENSG00000234244" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000234497" "ERICH3-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000234548" "LINC02020" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000234736" "FAM170B-AS1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000234940" "ENSG00000234940" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000234943" "ENSG00000234943" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000234953" "ENSG00000234953" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000234965" "SHISA8" "Protein_Coding" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000235029" "MNX1-AS2" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000235100" "ENSG00000235100" "lncRNA" "Normal vs Doxo-treated" 1.766484998 0.438183075
"ENSG00000235192" "ENSG00000235192" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000235292" "ENSG00000235292" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000235296" "ENSG00000235296" "lncRNA" "Normal vs Doxo-treated" 1.979079456 0.438183075
"ENSG00000235303" "ENSG00000235303" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000235357" "LINC01621" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000235492" "LINC01221" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000235665" "LINC00298" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000235736" "ENSG00000235736" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000235741" "LINC02784" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000235777" "DPYD-AS2" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000235782" "ENSG00000235782" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000235806" "ENSG00000235806" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000235958" "UBOX5-AS1" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000235994" "ENSG00000235994" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000236197" "PPP1R9A-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000236262" "SHANK2-AS2" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000236268" "LINC01361" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000236345" "SCAT8" "lncRNA" "Normal vs Doxo-treated" 2.126903527 0.438183075
"ENSG00000236347" "ENSG00000236347" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000236354" "LINC00437" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000236466" "RCAN2-DT" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000236754" "ENSG00000236754" "lncRNA" "Normal vs Doxo-treated" 1.864291821 0.438183075
"ENSG00000236761" "CTAGE9" "Protein_Coding" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000236800" "ENSG00000236800" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000236858" "ENSG00000236858" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000236885" "ENSG00000236885" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000236935" "ENSG00000236935" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000236938" "ENSG00000236938" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000237136" "C4orf51" "Protein_Coding" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000237212" "ENSG00000237212" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000237341" "SYP-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000237356" "ENSG00000237356" "lncRNA" "Normal vs Doxo-treated" 1.756929662 0.438183075
"ENSG00000237385" "ENSG00000237385" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000237480" "ENSG00000237480" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000237481" "ENSG00000237481" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000237505" "PKN2-AS1" "lncRNA" "Normal vs Doxo-treated" 1.855394259 0.438183075
"ENSG00000237664" "LINC00316" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000237667" "LINC01115" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000237693" "IRGM" "Protein_Coding" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000237787" "LINC02877" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000237986" "CELF2-AS2" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000238057" "ZEB2-AS1" "lncRNA" "Normal vs Doxo-treated" 2.173892899 0.438183075
"ENSG00000239300" "ENSG00000239300" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000239608" "RUVBL1-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000239697" "TNFSF12" "Protein_Coding" "Normal vs Doxo-treated" -1.634870917 0.438183075
"ENSG00000239922" "ENSG00000239922" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000240654" "C1QTNF9" "Protein_Coding" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000241151" "LINC02066" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000241383" "LINC01997" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000242522" "KLHL6-AS1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000242753" "ENSG00000242753" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000242816" "ENSG00000242816" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000243069" "ARHGEF26-AS1" "lncRNA" "Normal vs Doxo-treated" 1.981848159 0.438183075
"ENSG00000243197" "TUSC7" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000243244" "STON1" "Protein_Coding" "Normal vs Doxo-treated" -1.087556287 0.438183075
"ENSG00000243321" "LINC01998" "lncRNA" "Normal vs Doxo-treated" 2.173892434 0.438183075
"ENSG00000243491" "ENSG00000243491" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000243620" "ENSG00000243620" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000243795" "LINC02044" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000243885" "ENSG00000243885" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000244682" "FCGR2C" "Protein_Coding" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000244879" "GABPB1-AS1" "lncRNA" "Normal vs Doxo-treated" 1.110316003 0.438183075
"ENSG00000244926" "ALKBH3-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000245719" "ENSG00000245719" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000245870" "LINC00682" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000246379" "GNAO1-DT" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000246451" "KLC1-AS1" "lncRNA" "Normal vs Doxo-treated" 2.591233231 0.438183075
"ENSG00000246526" "LINC02481" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000247699" "FABP6-AS1" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000247774" "PCED1B-AS1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000248115" "ENSG00000248115" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000248118" "LINC01019" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000248256" "OCIAD1-AS1" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000248356" "ENSG00000248356" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000248383" "PCDHAC1" "Protein_Coding" "Normal vs Doxo-treated" 1.983018081 0.438183075
"ENSG00000248388" "ENSG00000248388" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000248408" "LINC02469" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000248544" "ENSG00000248544" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000248942" "LINC01335" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000249042" "FAM151B-DT" "lncRNA" "Normal vs Doxo-treated" -1.770569235 0.438183075
"ENSG00000249332" "LINC02149" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000249343" "LINC01333" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000249388" "ENSG00000249388" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000249481" "SPATS1" "Protein_Coding" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000249581" "CLRN2" "Protein_Coding" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000249601" "LINC01187" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000249641" "HOXC13-AS" "lncRNA" "Normal vs Doxo-treated" 2.544512545 0.438183075
"ENSG00000249787" "ENSG00000249787" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000249853" "HS3ST5" "Protein_Coding" "Normal vs Doxo-treated" 2.264882485 0.438183075
"ENSG00000250027" "ENSG00000250027" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000250129" "ENSG00000250129" "lncRNA" "Normal vs Doxo-treated" 2.307273902 0.438183075
"ENSG00000250250" "CTD-2350J17.1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000250378" "ENSG00000250378" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000250436" "LINC02499" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000250447" "LINC02105" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000250448" "MARCHF11-DT" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000250490" "LINC02145" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000250582" "SMAD1-AS2" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000250623" "ENSG00000250623" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000250626" "ENSG00000250626" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000250704" "ENSG00000250704" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000250814" "LINC02221" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000251010" "ENSG00000251010" "lncRNA" "Normal vs Doxo-treated" 3.621634995 0.438183075
"ENSG00000251126" "ENSG00000251126" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000251129" "LINC02506" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000251138" "LINC02882" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000251152" "ENSG00000251152" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000251171" "ENSG00000251171" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
"ENSG00000251244" "ENSG00000251244" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000251320" "ENSG00000251320" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000251323" "LINC02728" "lncRNA" "Normal vs Doxo-treated" 3.636749278 0.438183075
"ENSG00000251448" "ENSG00000251448" "lncRNA" "Normal vs Doxo-treated" 2.76415448 0.438183075
"ENSG00000251575" "C5orf64-AS1" "lncRNA" "Normal vs Doxo-treated" 3.631695206 0.438183075
"ENSG00000251632" "LINC02172" "lncRNA" "Normal vs Doxo-treated" 3.626657109 0.438183075
